description,category
Erection of a single storey rear extension and part single and part 2 storey side extenison,Extensions
Erection of a single storey side and rear extension,Extensions
Erection of a single storey side and rear extension,Extensions
Erection of a single storey side extension,Extensions
Erection of a single storey side extension,Extensions
Erection of a single storey side extension,Extensions
Erection of a single strorey rear extension,Extensions
Erection of a three storey rear extension,Extensions
Erection of a two storey extension,Extensions
Erection of a two storey front extension,Extensions
Erection of a two storey side and rear extension to provide an extension to the existing property and an additional 2-bedroom dwellinghouse (revised scheme),Extensions
Erection of a two storey side and rear extension to provide an extension to the existing property and an additional 3-bedroom dwellinghouse,Extensions
Erection of a two storey side extension,Extensions
Erection of a two storey side extension,Extensions
Erection of a two storey side extension,Extensions
Erection of a two storey side extension,Extensions
Erection of a two storey side extension,Extensions
Erection of a two storey side extension and single storey rear extension,Extensions
Erection of a two storey side/rear extension,Extensions
Erection of an infill front extension to front 10ft x 5.2 feet,Extensions
Erection of extension,Extensions
Erection of first floor extension to bungalow,Extensions
Erection of first floor over existing garage,Extensions
Erection of first floor over existing garage,Extensions
Erection of first floor rear extension,Extensions
Erection of front extension,Extensions
Erection of front extension,Extensions
Erection of front extension to garage,Extensions
Erection of rear and side extension,Extensions
Erection of rear extension,Extensions
Erection of rear extension,Extensions
Erection of rear extension,Extensions
Erection of rear extension,Extensions
Erection of rear extension,Extensions
Erection of rear extension,Extensions
Erection of rear extension.,Extensions
Erection of side and rear extension.,Extensions
Erection of side extension,Extensions
Erection of single storey extension to rear of property,Extensions
Erection of single storey extensions,Extensions
Erection of single storey front extension,Extensions
Erection of single storey rear extension,Extensions
Erection of single storey rear extension,Extensions
Erection of single storey rear extension,Extensions
Erection of single storey rear extension,Extensions
"Erection of single storey rear extension,  measuring 4.5 metres deep from the original rear wall of the property x 2.8 metres to eaves x 3.85 metres overall height",Extensions
Erection of single storey side extension,Extensions
Erection of two storey front extension,Extensions
Erection of two storey side extension,Extensions
Erection of two-storey and first floor side extension,Extensions
Erection single storey rear extension,Extensions
Proposed erection of a two-storey side extension,Extensions
Proposed two storey rear extension,Extensions
Proposed two storey side and rear extension,Extensions
Proposed two storey side extension,Extensions
Reinstate expired planning application 03/00206/FUL for a two storey storey side extension and room in roof,Extensions
Removal of existing conservatory and erection of single storey rear extension,Extensions
Wrap around extension,Extensions
Wraparound extension,Extensions
Erection of  1.52 metre high boundary wall to front garden,"Fences, Gates and Garden Walls"
Erection of 1.2m high metal bow top fencing site on existing brick wall to rear of property.,"Fences, Gates and Garden Walls"
Erection of 2 metre high fencing  in line with neighbours boundary line at No 4 to separate the garden area,"Fences, Gates and Garden Walls"
Erection of a 1 metre wall at front of property,"Fences, Gates and Garden Walls"
Erection of a replacement fence,"Fences, Gates and Garden Walls"
Erection of a retaining wall to rear of the garden,"Fences, Gates and Garden Walls"
Erection of a two 2m close board fence to enclose rear garden area that fronts Upper Elms Way,"Fences, Gates and Garden Walls"
Erection of a two metres high gate to the side,"Fences, Gates and Garden Walls"
Erection of a wooden gate to front,"Fences, Gates and Garden Walls"
Erection of boundary fencing,"Fences, Gates and Garden Walls"
Erection of boundary fencing,"Fences, Gates and Garden Walls"
Erection of boundary wall,"Fences, Gates and Garden Walls"
Erection of fence at side and rear of property,"Fences, Gates and Garden Walls"
Erection of fence to enclose land,"Fences, Gates and Garden Walls"
Erection of fence to front,"Fences, Gates and Garden Walls"
Erection of part wall and fence panels (5ft in height) to separate two existing  hardstanding areas with continuation to form a boundary with two front pillars and access gates,"Fences, Gates and Garden Walls"
Formation of a gate to rear existing boundary fencing and removal of trees,"Fences, Gates and Garden Walls"
Party wall dispute and erection of boundary fencing,"Fences, Gates and Garden Walls"
Re-siting of boundary wall,"Fences, Gates and Garden Walls"
Rebuild  existing brick wall in rear boundary of property to no more than 2m in height,"Fences, Gates and Garden Walls"
Replacement fencing,"Fences, Gates and Garden Walls"
Replacement of fence with new wall and fence,"Fences, Gates and Garden Walls"
Replacement of close board fencing to the side and rear of the property with a 2.7m high brick wall with 1.8m x 1.8m timber infill panels and capping stones on pillars,"Fences, Gates and Garden Walls"
Replacement of existing fence with new fence not exceeding 2m in height,"Fences, Gates and Garden Walls"
Erection of Deer Proof Fence,"Fences, Gates and Garden Walls"
Addition of new pitched roof to front of garage to facilitate conversion to ancillary  living accommodation,Garage Conversions
Conversion of a garage to habitable room,Garage Conversions
Conversion of a garage to habitable room,Garage Conversions
Conversion of existing attached garage to form a habitable room and utility room,Garage Conversions
Conversion of existing garage into living accommodation.,Garage Conversions
Conversion of existing garage to a habitable room,Garage Conversions
Conversion of existing garage to habitable room,Garage Conversions
Conversion of existing integral garage to form a playroom,Garage Conversions
Conversion of exsiting integral garage to form a habitable room,Garage Conversions
Conversion of garage to a habitable room,Garage Conversions
Conversion of garage to habitable room,Garage Conversions
Conversion of garage to habitable room,Garage Conversions
Conversion of garage to habitable room,Garage Conversions
Conversion of garage to habitable room,Garage Conversions
Conversion of garage to habitable room,Garage Conversions
Conversion of garage to habitable room,Garage Conversions
Conversion of garage to habitable room,Garage Conversions
Conversion of garage to habitable room (Relief of condition 4 of planning permission 98/00224/FUL dated 12th June 1998 for a two storey side extension),Garage Conversions
Conversion of garage to habitable room at Wolf Court,Garage Conversions
Conversion of integral garage into a habitable room,Garage Conversions
Conversion of integral garage to form a habitable room,Garage Conversions
Conversion of part of existing garage to a habitable room,Garage Conversions
Garage conversion with flush window,Garage Conversions
Proposed conversion of double garage,Garage Conversions
Proposed conversion of existing detached double garage for part storage and part ancillary domestic office,Garage Conversions
Proposed conversion of existing garage to a habitable room,Garage Conversions
Demolition of an attached garage and erection of a detached garage,Outbuildings
Demolition of an existing garage and erection of a new one,Outbuildings
Demolition of existing concrete panel garage and use of land for the siting of metal storage container in existing storage/service yard,Outbuildings
Demolition of existing single garage and erection of a double garage,Outbuildings
Erection of a car port,Outbuildings
Erection of a garden shed,Outbuildings
Erection of a log cabin in rear garden,Outbuildings
Erection of a log cabin within rear garden,Outbuildings
Erection of a summerhouse in the rear garden,Outbuildings
Erection of a timber outbuilding within rear garden of property,Outbuildings
Erection of an outbuilding,Outbuildings
Erection of an outbuilding in rear garden,Outbuildings
Erection of an outbuilding to rear,Outbuildings
Erection of an outbuilding to rear of property,Outbuildings
Erection of brick built shed in rear garden for domestic storage,Outbuildings
Erection of garage,Outbuildings
Erection of garage and workshop 8 metres x 5.5 metres,Outbuildings
Erection of garage-style outbuilding in rear garden,Outbuildings
Erection of outbuilding to house historic vechicles,Outbuildings
Erection of outbuilding to rear,Outbuildings
Erection of outbuilding to rear,Outbuildings
Erection of single-storey vehicle workshop outbuilding,Outbuildings
Erection of summer house,Outbuildings
Removal of existing detached garage and erection of a new garage,Outbuildings
Removal of existing detached garage and erection of a replacement garage with pitched roof,Outbuildings
Removal of existing garage and erection of a new wooden style garage to rear,Outbuildings
Removal of existing garage and erection of new garage to rear of property,Outbuildings
Removal of existing garage and sheds and erection of a new summer house style sheds with decking,Outbuildings
Removal of existing shed and erection of a new concrete style shed within rear garden,Outbuildings
Crown lift one Beech tree (part of G24 of TPO358A) to give a 6 metre ground level clearance,Trees and Hedges
Crown lift one Horse Chestnut tree (T00236 on plan) to 3.5 metres on road side at Queens Avenue,Trees and Hedges
Crown lift one Norway Spruce (T1 of TPO383) and one Walnut (T2 of TPO383) to give a 4 metre ground level clearance,Trees and Hedges
Crown lift one Sweet Chestnut (part of G1 of TPO426A) to give a 4 metre ground level clearance,Trees and Hedges
"Crown lift one Walnut tree in rear garden to give a 4 metre ground level clearance by removal of nothing bigger that 12cm leaving larger stems, lightly thin by approximately 15-20% and remove deadwood and crown reduce one Goldcrest Monterey Cypress in front garden by approximately 4-5 metres",Trees and Hedges
"Crown lift Robinia (T8 of TPO359) along pedestrian route to give a 2.5 metre ground level clearance and reduce branches back in line with edge of path, reduce back branches of three Hornbeams (T3, T4 and T17 of TPO359) to provide a 2 metre clearance from house, reduce back branches of Oak (T18 of TPO359) to provide a 2 metre clearance from house and remove major dead wood, crown raise Sycamore (T21 of TPO359) by 1.5 metres and reduce back branches to provide a 2 metre clearance from house, reduce back branches of 3 Oak trees (two unprotected one is T20 of TPO359) back to boundary line, crown raise Lime (T15 of TPO359) over car park by 1 metre, re-pollard knuckle of Willow (T14 of TPO359) growing towards road side and remove major dead wood from remaining crown, reduce back branches of 3 Oaks (T11, T12 and T13 of TPO359) to provide a 2 metre clearance from house and remove epicormic growth to clear first 4 metres of stem and remove major dead wood, crown reduce Robinia (T22 of TPO359) by 35% to remove dieback in upper crown and shape remaining crown to balance and crown raise Maple (T23 of TPO359) by 1 metre to clear car park and lawn",Trees and Hedges
"Crown lift seven trees within G4 of TPO367A to give 8 metres of ground level clearance, remove any damaged limbs and dead wood where observed and remove 2 limbs that overhang the roof line",Trees and Hedges
Crown lift Sweet Chestnut tree (T17 of TPO368) to give a 5 metre ground level clearance and remove significant dead branches,Trees and Hedges
"Crown lift Sycamore tree (A, G6 of TPO 355A) and Oak tree (B, G7 of TPO 355A) to west aspect to give an 8 metre ground level clearance and cut back branches of three Oak trees (B, C, D, G7 of TPO 355A) which overhang driveway by 3 metres (B and C) and by 2 metres (D)",Trees and Hedges
"Crown lift trees within G1 of TPO282 to give a 6 metres ground level clearance, crown thin by no more than 30% and crown reduce all trees to clear playhouse by 2 metres",Trees and Hedges
Crown reduce Ash tree by 3 metres on all sides of canopy,Trees and Hedges
Crown reduce Lime tree (T1 on sketch plan) by 20% and remove all basal and epicormic growth,Trees and Hedges
Crown reduce Lime tree (T40 of TPO431A) by 30%,Trees and Hedges
Crown reduce Lime tree (T42 of TPO431A) by 20% to higher pollard points,Trees and Hedges
Crown reduce Oak tree (T18 of TPO 435A) by approximately 2 metres cutting back to growth points and remove deadwood,Trees and Hedges
Crown reduce Oak tree (T2 of TPO187) by 30% and reduce back branches overhanging neighbouring land by 4m,Trees and Hedges
Crown reduce one Holly tree by a third,Trees and Hedges
Crown reduce Robinia tree (marked as 1 on sketch plan) by 30% and deadwood,Trees and Hedges
Crown reduce two Oak trees (T44 and T45 of TPO415A) by 4 metres on the Northern aspect,Trees and Hedges
Crown thin 2 Beech trees (G2 of TPO432A) by 20%,Trees and Hedges
Crown thin Oak tree in no. 168 (T37 of TPO 433) and Oak tree in no. 170 (T38 of TPO 433) by no more than 25% on the southern aspect,Trees and Hedges
Crown thin two Oak trees (T1 and T2 of TPO151) by 25% and crown lift to give a 5 metre ground level clearance and deadwood and reduce back branches overhanging neighbours garden by 3 metres (T1) and 2 metres (T2),Trees and Hedges
"Crown thin two Sweet Chestnut trees by 25%, remove Leyland, crown thin Whitebeam by 20% and reduce in height Holly tree by 4 metres",Trees and Hedges
Cut back branch of Scots Pine (T4 of TPO321) growing towards the property to give a 1.5 metre clearance from the property,Trees and Hedges
Cut back branches of Oak tree (T22 of TPO418) to clear building by 1.5 meters,Trees and Hedges
Cut back branches of Pine tree (T56 of TPO439) by 2.3 metres to clear phone lines and roof of house and deadwood,Trees and Hedges
"Cut back branches on North Side of three Oak trees marked as 1, 2 and 3 on sketch plan (G1 of TPO366) by approximately 3 metres",Trees and Hedges
"Cut back growth of Oak tree (T1 of TPO333) by no more than 2.5 metres to house aspect, crown thin by no more than 20% and remove lowest limb overhanging rear garden of 63 Whites Road",Trees and Hedges
Cut back low and dead branches of Oak tree (part of G1 of TPO347) which overhang neighbours garden at 38 Whittle Crescent to trunk,Trees and Hedges
Cut back low hanging limb of Oak tree (T1 on sketch plan) and low hanging limb of Oak tree (T2 on sketch plan) by 4 metres. Both trees part of G21 of TPO435,Trees and Hedges
Fell 23 assorted small trees alongside the Basingstoke Canal (ID 07942) and 1 Oak tree in poor condition alongside the Farnborough Road (02745 on plan),Trees and Hedges
Fell Birch tree (T9 of TPO356),Trees and Hedges
"Fell Cypress tree (T1 on sketch plan), lift lower branches of Hazel tree (T2 on sketch plan) to give a 5 metre ground level clearance, remove three lowest limbs of Plane tree (T3 on sketch plan) to house aspect, and fell Chestnut tree (T4 on sketch plan)",Trees and Hedges
Fell Cypress tree and grind stump to below surface,Trees and Hedges
Fell False Acacia (T25 of TPO440),Trees and Hedges
"Fell four poor quality Birch trees (02661, 02664, 07940 and 07941 on plan), one Sycamore tree (02662 on plan) and one Oak tree (02663 on plan) to the rear of Princes Avenue Tennis Courts",Trees and Hedges
Fell four small Sycamore trees in rear garden,Trees and Hedges
"Fell Laurel tree (T1 on sketch plan), Plum tree (T2 on sketch plan) and Sycamore tree (T11 on sketch plan)",Trees and Hedges
Fell Oak tree (T19 of TPO277),Trees and Hedges
"Fell one Beech tree (T30 of TPO432A) and crown thin Sycamore tree (T29 of TPO432A) by up to 20%, crown lift to give an 8 metre ground level clearance, crown clean and remove deadwood",Trees and Hedges
Fell one Conifer (marked as 1 on sketch plan) and reduce in height group of Conifers (marked as A on sketch plan) by approximately 6 metres,Trees and Hedges
Fell one Conifer tree in rear garden,Trees and Hedges
Fell one Eucalyptus tree and grind stump to a depth of approximately 150mm below ground level and reduce height of one Copper Beech by approximately 1.5 - 2 metres and sides by approximately 0.5 - 1 metres,Trees and Hedges
Fell one Eucalyptus tree in rear garden,Trees and Hedges
Fell one False Acacia tree (03308 on plan) and two Horse Chestnut trees (03309 and 03310 on plan) alongside Farnborough Road,Trees and Hedges
Fell one Lime tree (T2 of TPO160),Trees and Hedges
Fell one Norway Maple tree (within G1 of TPO403),Trees and Hedges
Fell one Oak tree,Trees and Hedges
Fell one Oak tree (T7 of TPO279A) and crown lift two Oak trees (T6 and T8 of TPO279A) to give a 6 metre ground level clearance and remove dead wood,Trees and Hedges
Fell one Oak tree (T7 of TPO358A),Trees and Hedges
Fell one Oak tree on Ship Lane Alley boundary,Trees and Hedges
Fell one Oak Tree to rear (T1 of TPO 387),Trees and Hedges
Fell one Pine tree (T13 of TPO355A),Trees and Hedges
"Fell one Rowan tree (marked as T1 on sketch plan), cut back branches of one Holly tree (T2 on sketch plan) to the fence line and cut back branches of multiple trees (T3 on the sketch plan) to the fence line",Trees and Hedges
Fell one Silver Birch tree and one Beech tree,Trees and Hedges
Fell one Silver Birch tree in drive way,Trees and Hedges
Fell one Sweet Chestnut tree (marked as T1 on sketch plan) and reduce back the lowest branch of one Sweet Chestnut tree (T2 on sketch plan) to the north east by approx 50 % (G16 of TPO368),Trees and Hedges
Fell one Sweet Chestnut tree (T7 of TPO354),Trees and Hedges
Fell Pine tree (T56 of TPO439),Trees and Hedges
"Fell Silver Birch tree marked as T1 on sketch plan and crown thin group of three Silver Birch trees marked as G1 on sketch plan by 20%, crown clean and reduce height and width by 2 metres. All trees part of G12 of TPO368",Trees and Hedges
Fell Sycamore tree in the rear garden,Trees and Hedges
Fell two Acacia trees (marked as 1 and 2 on sketch plan),Trees and Hedges
Fell two Fir trees in rear garden,Trees and Hedges
"Fell two Scots Pines (G10), reduce upper crown of Oak (G9) above structural wound by 4 metres, fell Scots Pine (G3), fell Sweet Chestnut (G4), reduce outer and upper crown of Sycamore (T7) by 2 metres and deadwood, crown reduce Sweet Chestnut (G2) by 50% including large limb over neighbouring property and reduce all principle limbs by 8 metres and remove Ivy from Sycamore tree (G2). All trees part of TPO 422A.",Trees and Hedges
Fell two Western Red Cedar trees in the front garden,Trees and Hedges
Felling of 5 Conifer Trees(2) and removal of branches of 1 Holly Tree(1) overhanging neighbours boundary,Trees and Hedges
"Lift low branches of all Oak and Birch trees (G3 of TPO367A) to give a 5 - 6 metre ground level clearance, lightly thin by 15 - 20% and remove dead, dying and dangerous branches and epicormic growth. Remove branches closer than 2 metres to property",Trees and Hedges
One Cypress tree to side of Cavendish 40 Manor Road Aldershot: Reduce tree to one metre above gutter height,Trees and Hedges
Pollard Goat Willow to a height of 10 feet,Trees and Hedges
Pollard Oak tree (T3 of TPO 355A) back to trunk,Trees and Hedges
"Prune back Oak tree (not protected) to clear the bus stop sign by 1 metre, crown lift Walnut tree (T15 of TPO 440) by 2 metres over car park access road, sever Ivy from ground level to 1.5 metres from Sweet Chestnut (T13 of TPO 440), Sweet Chestnut (T14 of TPO 440), Horse Chestnut (T10 of TPO 440), Silver Birch (T7 of TPO 440) and Rowan (not protected) and prune back Rowan to clear building by up to 2 metres, crown lift Silver Birch (not protected) to 2.5 metres over parking bays and carry out Tomographic decay test to Pink Chestnut (T6 of TPO 440) and remove one large dead branch",Trees and Hedges
Prune back southern side of crown of Lime tree (T2 of TPO160) to provide a 3 metre clearance from the building and remove any significant dead branches from the remainder of the crown,Trees and Hedges
"Prune back T119, T120, T121, T122 (Swedish Whitebeams) T123, T124, T125, T126, T127, T128, T129 and T130 (Limes) of TPO178 to provide approximately 1.5 - 2 metre clearance from gantries, kiosk and walkways",Trees and Hedges
"Prune back three Oak trees (T18,T34 and T35) of TPO439 to give no more than 2m clearance from building",Trees and Hedges
Re-pollard four Sycamore trees (G2 of TPO226) to previous pollard points and repeat works as and when required,Trees and Hedges
Reduce and reshape canopy of Beech tree (T5 of TPO435) by approximately 2 metres radially or 4 metres in total diameter and lift canopy of Scots Pine (T6 of TPO435) to give a 10 metre ground level clearance and remove major dead wood,Trees and Hedges
Reduce and reshape Oak tree (T3 of TPO414) by 2 metres overall and thin by 20%,Trees and Hedges
Reduce and shape Sweet Chestnut tree (T7 of TPO444) to previous pruning points and remove basal and main stem epicormic growth to eaves height,Trees and Hedges
"Reduce back branches of Maple tree (T10 of TPO375) to give a 2 metre clearance from the property, crown lift to give a 4.5 metre ground level clearance, crown thin by no more than 15%, remove rubbing branches and repeat works as and when required",Trees and Hedges
Reduce back branches of Oak tree (T5 of TPO373) to give a 1.5 metre clearance from the property,Trees and Hedges
"Reduce back lowest branch of Oak tree (T46 of TPO435) on northern aspect over Pirbright Road by approx 4 metres to suitable laterals, reduce back branch above by approx 3 metres and reduce back three cardinal poins of lowest branch on southern aspect by 2 metres. Reduce back small diameter branches of Beech tree (G12 of TPO435) to give 2.5 metre clearance from property. Remove one exceptionally long branch (diameter approx 150mm) of Sycamore (T61 of TPO435) on western aspect to maintain shape of canopy and shorten lowest branch on north eastern aspect to first lateral.",Trees and Hedges
Reduce back selective secondary growth of large primary bough of Oak tree (T1 of TPO399) on the northern side of the crown by approximately 2.5 metres back to suitable growth points,Trees and Hedges
Reduce back two limbs of Horse Chestnut tree (T4 of TPO240A) closest to the corner of the building to provide a 6 foot clearance from the building,Trees and Hedges
Reduce crown of Beech tree (T55 of TPO403) by approximately 3 metres to suitable secondary growth,Trees and Hedges
Reduce crown of Oak tree (T62 of TPO435) by approximately 50% overall,Trees and Hedges
"Reduce crowns of one Birch tree, two Maple trees and one Sycamore tree by approximately one third",Trees and Hedges
"Reduce crowns of two Oak trees (T36 and T37 of TPO432) to previous reduction points, crown lift to give a 6 metre ground level clearance and deadwood",Trees and Hedges
Reduce Lawson Cypress (T15 of TPO288A) in height by up to 3 metres and reduce lateral growth by up to 2 metres to shape and balance and produce a more compact form,Trees and Hedges
"Reduce longest lateral limbs of one Oak tree (T15 of TPO365) by no more than 3 metres and dress remaining crown to shape, remove dead, damaged and crossing limbs and crown thin by no more than 20%",Trees and Hedges
Remedial tree works to various trees as specified within the submitted schedule off Queens Avenue,Trees and Hedges
Remedial works to 13 trees at the Army School of Physical Training,Trees and Hedges
Remedial works to 13 trees at the Martial Arts Centre,Trees and Hedges
Remedial works to 7 trees at the Military Stadium,Trees and Hedges
Remedial works to boundary trees to enable security fence erection at the Prince Consorts Library,Trees and Hedges
"Remedial works to three Sycamore trees and one Cypress tree (T466, T467, T468 and T469) at Hope Grants Road and to fell one declining Horse Chestnut tree (T031) at Queens Avenue and one Laburnum tree (T876) at the Military Cemetery",Trees and Hedges
Remedial works to two Plane trees T2377 and T2378 at Queens Avenue,Trees and Hedges
Removal of five lower branches of two Sweet Chestnut trees (G2 of TPO355A) and reduction of stem feathers,Trees and Hedges
Removal of lowest limb and four branches of Ash tree which overhang neighbours property,Trees and Hedges
"Removal of one branch of Oak tree (T1 of TPO260A) to the South East aspect and deadwooding, removal of one branch of Oak tree (within G1 of TPO260A) to the South West aspect, crown thinning of trees within G1 of TPO260A by 20% and deadwooding",Trees and Hedges
"Removal of three Fir trees (marked as 1, 2 and 3 on sketch plan) and replacement with Silver Birch trees",Trees and Hedges
"Removal of top 20% of five mature trees (T1-5), Beech tree (B on sketch plan) and Chestnut tree (C on sketch plan)",Trees and Hedges
"Remove 5 branches from trunk of Horse Chestnut tree (T4 of TPO387) on the South West aspect, remove 2 branches from trunk of Oak trees (T5 and T6 of TPO387) on the South West aspect and remove all dead wood and Ivy from trees",Trees and Hedges
"Remove and replace Beech tree (T1 of TPO272), crown reduce Beech tree (T3 of TPO272) to previous pruning points and crown lift to give a 4 metre ground level clearance, crown reduce two Oak trees (T4 and T5 of TPO272) to previous pruning points and crown thin by 15%",Trees and Hedges
Remove branches of Holly tree which overhang boundary with adjoining neighbour and reduce tree in height by no more than 2 metres,Trees and Hedges
"Remove lower fork from one limb of Hornbeam tree (T2 of TPO349) on Western side over the fence, raise canopy to give a 4.5 metre ground level clearance involving the removal of smaller branches up to approximately 100 - 120mm and remove of epicormic re-growth",Trees and Hedges
Remove lowest branch of one Sycamore tree (G2 of TPO374) overhanging neighbours fence,Trees and Hedges
"Remove Oak tree, crown reduce Red Plum to previous pruning points and crown thin by 15% and crown lift Plane trees to the front to give a 4 metre ground level clearance",Trees and Hedges
Remove one diseased Holly tree to the rear,Trees and Hedges
"Remove one upright vigorous stem from the rear of Apple tree, reduce side branches by approximately 1 - 1.5 metres to reshape, lightly thin crown by 15 - 20% and deadwood throughout",Trees and Hedges
"Remove two leaning stems of a cluster of 7 Oak tree stems overhanging the A325, cut back two low secondary branches to house aspect to main limb, cut back one low secondary branch to south aspect to stem, cut back two low secondary branches to south west aspect to stem and trim back branches to give a 2 metres clearance from the streetlight (G1 of TPO174)",Trees and Hedges
Remove two lowest limbs of Yew tree (T10 of TPO421A),Trees and Hedges
"Remove two Oak trees (marked as 1 and 3 on sketch plan), remove dead and defective branches of retained Oak tree (marked as 2 on sketch plan) and two lower branches which overhang and are close to the boundary fence (G16 of TPO 355A)",Trees and Hedges
Remove two Yew trees (00434 and 00435 on plan) at the Army School of Physical Training,Trees and Hedges
Repollard Alder to previous pollard points and remove two Oak trees (G6 of TPO261),Trees and Hedges
Repollard two Sycamore trees (G2 TPO226) back to previous pollard knuckles and reshape as and when required,Trees and Hedges
Repollard Willow tree (T2 of TPO 388) back to previous pollard points,Trees and Hedges
Repollard Willow tree back to previous pollard points,Trees and Hedges
Trim back branches of Birch tree and Conifer in rear garden by two metres on side facing property,Trees and Hedges
Trim back the crown of one Oak tree (T3 of TPO382) on property boundary to the house aspect to give no more than two metres clearance from the house,Trees and Hedges
